,datetime,cpu0,cpu1,cpu2,ram,data_download,data_upload,cpuavg,state
131,2022-10-20 11:10:34.524700,26.3,26.8,25.4,44.1,0.529741356,0.014942543,26.166666666666668,normal
132,2022-10-20 11:10:36.686391,21.7,25.5,24.5,44.1,0.529742549,0.014946237,23.900000000000002,normal
133,2022-10-20 11:10:38.900416,24.3,26.6,25.1,44.1,0.529742943,0.014946551,25.333333333333332,normal
134,2022-10-20 11:10:41.070164,24.4,24.8,22.4,44.1,0.529744304,0.014946857,23.866666666666664,normal
135,2022-10-20 11:10:43.225657,8.5,12.3,7.5,42.4,0.530366147,0.014953188,9.433333333333334,normal
136,2022-10-20 11:10:45.705970,9.5,9.3,5.0,42.5,0.531871479,0.014956024,7.933333333333334,normal
137,2022-10-20 11:10:47.797497,5.0,8.3,4.0,42.5,0.531871479,0.014956024,5.766666666666667,normal
138,2022-10-20 11:10:50.103216,22.3,24.8,21.5,42.8,0.531944155,0.01497654,22.866666666666664,normal
139,2022-10-20 11:10:52.391544,61.3,46.1,59.2,44.4,0.532007131,0.014994293,55.53333333333334,high
140,2022-10-20 11:10:54.594621,81.7,82.3,81.4,44.5,0.532012251,0.015003076,81.8,high
141,2022-10-20 11:10:57.052134,43.9,45.4,42.0,44.4,0.534634151,0.01507869,43.76666666666667,high
142,2022-10-20 11:10:59.346586,78.6,71.4,75.2,45.7,0.535645542,0.015130071,75.06666666666666,high
143,2022-10-20 11:11:02.022306,61.9,57.7,64.5,46.3,0.535896313,0.015220777,61.36666666666667,high
144,2022-10-20 11:11:04.328324,81.8,71.5,76.8,46.6,0.536658435,0.015315459,76.7,high
145,2022-10-20 11:11:06.683196,77.7,73.8,81.0,48.0,0.536693776,0.015327943,77.5,high
146,2022-10-20 11:11:08.866663,78.4,78.7,81.9,49.7,0.536730793,0.01535016,79.66666666666667,high
147,2022-10-20 11:11:11.054508,98.5,96.0,99.5,50.9,0.536868539,0.015360917,98.0,high
148,2022-10-20 11:11:13.324051,100.0,100.0,99.5,52.3,0.537226875,0.015376051,99.83333333333333,high
149,2022-10-20 11:11:15.468428,96.5,96.5,97.0,52.3,0.537249255,0.015413645,96.66666666666667,high
150,2022-10-20 11:11:18.262077,95.5,90.4,91.0,53.8,0.537770338,0.016101976,92.3,high
151,2022-10-20 11:11:20.565990,90.4,81.2,92.3,54.5,0.537919056,0.016298568,87.96666666666668,high
152,2022-10-20 11:11:22.745349,93.6,95.9,95.5,55.1,0.537940249,0.016327635,95.0,high
153,2022-10-20 11:11:24.920946,99.0,98.0,99.0,55.4,0.538307993,0.016360602,98.66666666666667,high
154,2022-10-20 11:11:27.116241,96.0,92.5,91.4,56.2,0.538866469,0.016414984,93.3,high
155,2022-10-20 11:11:29.319207,78.3,80.2,75.4,55.4,0.539922451,0.01651411,77.96666666666667,high
156,2022-10-20 11:11:32.334435,15.0,12.8,12.1,55.6,0.539951428,0.016552092,13.299999999999999,normal
157,2022-10-20 11:11:35.174515,28.4,24.7,53.5,55.6,0.540012512,0.016571747,35.53333333333333,high
158,2022-10-20 11:11:38.341164,9.5,8.8,15.2,55.5,0.540020569,0.016577857,11.166666666666666,normal
159,2022-10-20 11:11:40.424041,4.1,6.6,5.6,55.5,0.540026166,0.016584569,5.433333333333333,normal
160,2022-10-20 11:11:42.627196,3.6,6.7,7.2,55.3,0.540027589,0.016585133,5.833333333333333,normal
161,2022-10-20 11:11:44.763657,9.3,8.5,14.6,55.0,0.540029098,0.016586676,10.799999999999999,normal
162,2022-10-20 11:11:47.088231,47.2,32.5,30.7,55.5,0.540047993,0.016612959,36.800000000000004,high
163,2022-10-20 11:11:49.336673,20.4,37.3,34.3,55.4,0.540086409,0.016623512,30.666666666666668,normal
164,2022-10-20 11:11:51.527137,27.8,46.0,40.6,55.5,0.540086739,0.016623794,38.13333333333333,high
165,2022-10-20 11:11:53.608307,86.0,27.8,41.2,55.6,0.540087339,0.016626954,51.666666666666664,high
166,2022-10-20 11:11:55.689429,27.9,27.5,26.5,54.0,0.54008981,0.016630021,27.3,normal
167,2022-10-20 11:11:57.770689,15.8,15.5,15.5,52.9,0.540090792,0.016631571,15.6,normal
168,2022-10-20 11:11:59.851851,10.1,9.5,11.9,52.9,0.540091293,0.016632435,10.5,normal
169,2022-10-20 11:12:03.270985,15.9,21.4,14.7,52.9,0.540093332,0.016633927,17.333333333333332,normal
170,2022-10-20 11:12:05.411851,34.2,33.9,34.5,53.0,0.54009436,0.016635409,34.199999999999996,normal
171,2022-10-20 11:12:07.667094,26.7,28.2,27.3,53.0,0.540096329,0.016637436,27.400000000000002,normal
172,2022-10-20 11:12:09.840862,45.5,44.6,46.0,53.2,0.540103784,0.016651142,45.36666666666667,high
173,2022-10-20 11:12:11.996701,21.5,19.8,23.5,53.2,0.540111835,0.016684832,21.599999999999998,normal
174,2022-10-20 11:12:14.187609,33.7,39.1,33.8,53.2,0.540115103,0.016689926,35.53333333333334,high
